名	语种	原名	作者页	作品	页数	字数	状态
希梅内斯	es	Juan Ramón Jiménez	Página:Los pescadores de Trepang.djvu/292	works9	29	441908	ok
佩索阿	es	Fernando Pessoa	Página:ACEC TomoXII LibrosVIIyVIII SerieII.djvu/121	works2	2	72013	ok
巴列霍	es	César Vallejo	Página:Carta de César Vallejo a José María Eguren.pdf/1	works2	2	4110	ok
米斯特拉尔	es	Gabriela Mistral	Página:Desolación (colección de Mistral, 1922).djvu/10	works7	95	216750	ok
洛尔迦	es	Federico García Lorca	Página:Libro de poemas - García Lorca (1921).pdf/302	works33	22	35643	ok
博尔赫斯	es	Jorge Luis Borges	Página:Literatura policial en la Argentina. Waleis, Borges, Saer.djvu/60	works5	7	784352	ok
阿斯图里亚斯	es	Miguel Ángel Asturias	Página:Compendio de la Historia de la Ciudad de Guatemala Tomos I - II.pdf/377	works17	18	1656056	ok
卡彭铁尔	es	Alejo Carpentier	Página:Historia de la esclavitud de la raza africana en el nuevo mundo y en especi - Volumen 1 - IA historiadelaescl01saco.djvu/75	works0	0	0	空
聂鲁达	es	Pablo Neruda	Página:ChFSA FD1197205170(1).djvu/5	works12	12	1110891	ok
莱萨马·利马	es	José Lezama Lima	Página:Arturo Scarone - 1956 - Efemerides uruguayas. Tomo 4.pdf/52	works0	0	0	空
奥内蒂	es	Juan Carlos Onetti	Página:Arturo Scarone - 1956 - Efemerides uruguayas. Tomo 4.pdf/61	works0	0	0	空
萨瓦托	es|pt	Ernesto Sábato		无作者页	0	0	未找到
科塔萨尔	es	Julio Cortázar	Página:Julio Cortázar y el relato fantástico.djvu/27	works4	4	108271	ok
比奥伊·卡萨雷斯	es	Adolfo Bioy Casares	Página:Literatura policial en la Argentina. Waleis, Borges, Saer.djvu/43	works0	0	0	空
奥克塔维奥·帕斯	es	Octavio Paz	Página:Echague Memorias tradiciones.djvu/207	works13	13	509686	ok
尼卡诺尔·帕拉	es	Nicanor Parra	Página:Mensaje presidencial del 21 de mayo de 2012.pdf/27	works4	4	792298	ok
胡安·鲁尔福	es|pt	Juan Rulfo		无作者页	0	0	未找到
塞拉	es	Camilo José Cela		无作者页	0	0	未找到
蒙特罗索	es|pt	Augusto Monterroso		无作者页	0	0	未找到
多诺索	es	José Donoso	Página:Sesiones de los Cuerpos Lejislativos de Chile - Tomo XXXIII (1843).djvu/222	works1	1	187910	ok
加西亚·马尔克斯	es	Gabriel García Márquez	Página:Sesiones de los Cuerpos Lejislativos de Chile - Tomo XX (1831-1833).djvu/659	works1	1	12938	ok
富恩特斯	es	Carlos Fuentes	Página:ECH 2838 58 - Social Republicano, Partido.djvu/3	works20	300	1054960	ok
卡夫雷拉·因凡特	es	Guillermo Cabrera Infante	Página:La Ilustración Española y Americana 1875-1.pdf/11	works4	4	1766994	ok
巴尔加斯·略萨	es	Mario Vargas Llosa	Página:Historia Verdadera del Mexico profundo.djvu/244	works1	1	122839	ok
普伊格	es	Manuel Puig	Página:Homenaje a Manuel Puig.djvu/5	works8	253	226238	ok
罗亚·巴斯托斯	es|pt	Augusto Roa Bastos		无作者页	0	0	未找到
加莱亚诺	es	Eduardo Galeano	Página:Mitos y fantasías de los aztecas.djvu/173	works39	39	3573754	ok
皮格利亚	es	Ricardo Piglia	Página:Literatura policial en la Argentina. Waleis, Borges, Saer.djvu/15	works0	0	0	空
波拉尼奥	es|pt	Roberto Bolaño		无作者页	0	0	未找到
塞萨尔·艾拉	pt	César Aira	Autor:J	works0	0	0	空
哈维尔·马里亚斯	es	Javier Marías	Página:Sesiones de los Cuerpos Lejislativos de Chile - Tomo XXXVI (1845).djvu/167	works1	1	53370	ok
吉马良斯·罗萨	pt	João Guimarães Rosa	Autor:Araripe Júnior	works5	5	66085	ok
克拉丽丝·李斯佩克朵	pt	Clarice Lispector	Autor:Clarice Lispector	works0	0	0	空
若热·亚马多	pt	Jorge Amado	Autor:Graciliano Ramos	works8	50	639052	ok
德鲁蒙德·德·安德拉德	pt	Carlos Drummond de Andrade	Autor:José Bonifácio/Listas/Originais	works2	230	798431	ok
萨拉马戈	pt	José Saramago	Autor:José Saramago	works0	0	0	空
洛博·安图内斯	pt	António Lobo Antunes		无作者页	0	0	未找到
卡蒙斯	es	Luís de Camões	Página:Floresta de Rimas Antiguas Castellanas (1821).djvu/422	works16	15	12540	ok
清少纳言	ja	せいしょうなごん	作者:清少納言	works2	2	11902	ok
吉田兼好	ja	吉田兼好	作者:吉田兼好	works1	1	447	ok
小林一茶	ja	小林一茶		无作者页	0	0	未找到
川端康成	ja	川端康成	作者:梶井基次郎	works82	72	446529	ok
三岛由纪夫	ja	三島由紀夫		无作者页	0	0	未找到
安部公房	ja	安部公房		无作者页	0	0	未找到
大江健三郎	ja	大江健三郎		无作者页	0	0	未找到
松本清张	ja	松本清張		无作者页	0	0	未找到
远藤周作	ja	遠藤周作		无作者页	0	0	未找到
星新一	ja	星新一		无作者页	0	0	未找到
村上春树	ja	村上春樹		无作者页	0	0	未找到
东野圭吾	ja	東野圭吾		无作者页	0	0	未找到
宫部美雪	ja	宮部みゆき		无作者页	0	0	未找到
韩江	ja	한강		无作者页	0	0	未找到
泰戈尔	ja	Rabindranath Tagore		无作者页	0	0	未找到
迦梨陀娑	ja	Kālidāsa		无作者页	0	0	未找到
蚁垤（传）《罗摩衍那	ja	Vālmīki		无作者页	0	0	未找到
毗耶娑（传）《摩诃婆罗多	ja	Vyāsa		无作者页	0	0	未找到
普列姆昌德	ja	Premchand		无作者页	0	0	未找到
一千零一夜》（无名氏）	ar	ألف ليلة وليلة	مؤلف:أحمد فضل القمندان	works102	94	412176	ok
纳吉布·马哈福兹	ar	نجيب محفوظ / Naguib Mahfouz		无作者页	0	0	未找到
纪伯伦	ja	Kahlil Gibran		无作者页	0	0	未找到
阿多尼斯	ar	Adonis（علي أحمد سعيد）		无作者页	0	0	未找到
鲁米	ar	Rumi（جلال‌الدین محمد رومی）		无作者页	0	0	未找到
鲁拜集》（奥玛·海亚姆）	ja	Omar Khayyam / Edward FitzGerald		无作者页	0	0	未找到
哈菲兹	ar	Hafez（حافظ）		无作者页	0	0	未找到
萨迪	ar	Saadi（سعدی）		无作者页	0	0	未找到
菲尔多西	ar	Ferdowsi（فردوسی）		无作者页	0	0	未找到
奥尔罕·帕慕克	ja	Orhan Pamuk		无作者页	0	0	未找到
钦定本圣经（KJV译者群）	ja	King James Version		无作者页	0	0	未找到
和合本圣经（译者委员会）	ja	Chinese Union Version		无作者页	0	0	未找到
鸠摩罗什译经体	ja	鳩摩羅什	作者:鳩摩羅什	works6	6	29973	ok
荷马	el	Homer（Ὅμηρος）		无作者页	0	0	未找到
萨福	el	Sappho（Σαπφώ）		无作者页	0	0	未找到
